"perm","timestep","id","parent_id","x","y","stage","birth_timestep","have_info","detected","managing","last_known_timestep"
1,14,47,18,1537.60498112721,1106.94418127279,2,11,FALSE,FALSE,FALSE,NA
1,14,48,18,1214.45104694875,1151.3887811038,2,11,FALSE,FALSE,FALSE,NA
1,14,49,18,1508.13272980284,1342.24573396543,2,11,FALSE,FALSE,FALSE,NA
1,14,52,21,2033.19475508759,1719.41795319324,2,11,FALSE,FALSE,FALSE,NA
1,14,55,23,1691.20767696955,1158.69168230931,2,11,FALSE,FALSE,FALSE,NA
1,14,56,4,1932.75509498749,1942.47829024952,2,12,FALSE,FALSE,FALSE,NA
1,14,59,4,1879.37930954548,1230.34478069295,2,12,FALSE,FALSE,FALSE,NA
1,14,60,9,1493.67872095176,1328.32018103783,2,12,FALSE,FALSE,FALSE,NA
1,14,61,9,1571.60355424192,1488.38174757271,1,12,FALSE,FALSE,FALSE,NA
1,14,62,14,1681.31270998304,990.796628643303,2,12,FALSE,FALSE,FALSE,NA
1,14,63,14,1315.16879508039,1499.4801214157,2,12,FALSE,FALSE,FALSE,NA
