"perm","timestep","event","point_id","parent_id","x","y","stage_from","stage_to","detail","provisional_x","provisional_y","habitat","habitat_nudged"
1,18,"stage_transition",368,63,1348.33380731213,1511.1538598131,1,2,"transition_kernel",1348.33380731213,1511.1538598131,1,FALSE
1,18,"stage_transition",369,63,1261.27805227445,1525.93919069468,1,2,"transition_kernel",1261.27805227445,1525.93919069468,1,FALSE
1,18,"stage_transition",370,63,1399.13171885166,1165.35901730438,1,2,"transition_kernel",1399.13171885166,1165.35901730438,1,FALSE
1,18,"stage_transition",378,73,1633.8385903571,2633.47635611502,1,2,"transition_kernel",1633.8385903571,2633.47635611502,1,FALSE
1,18,"stage_transition",379,73,2033.97591629423,2529.56490486061,1,2,"transition_kernel",2033.97591629423,2529.56490486061,1,FALSE
1,18,"stage_transition",383,79,1251.88866590717,1559.00026004566,1,2,"transition_kernel",1251.88866590717,1559.00026004566,1,FALSE
1,18,"stage_transition",385,79,762.477208654895,1640.94770694185,1,2,"transition_kernel",762.477208654895,1640.94770694185,1,FALSE
1,18,"stage_transition",386,85,1265.1291683567,1748.25206585505,1,2,"transition_kernel",1265.1291683567,1748.25206585505,1,FALSE
1,18,"stage_transition",387,85,2003.72691841825,1128.12301244433,1,2,"transition_kernel",2003.72691841825,1128.12301244433,1,FALSE
1,18,"stage_transition",389,87,1370.04921238219,2247.62427658931,1,2,"transition_kernel",1370.04921238219,2247.62427658931,1,FALSE
1,18,"stage_transition",390,88,1395.90252534093,978.215063802753,1,2,"transition_kernel",1395.90252534093,978.215063802753,1,FALSE
1,18,"stage_transition",391,89,1056.17806187993,1063.30929701425,1,2,"transition_kernel",1056.17806187993,1063.30929701425,1,FALSE
1,18,"stage_transition",392,91,1377.25236880754,1519.35764032479,1,2,"transition_kernel",1377.25236880754,1519.35764032479,1,FALSE
1,18,"stage_transition",395,96,1843.94941249685,1210.41814925889,1,2,"transition_kernel",1843.94941249685,1210.41814925889,1,FALSE
1,18,"stage_transition",397,96,1198.94306958436,1592.08548773454,1,2,"transition_kernel",1198.94306958436,1592.08548773454,1,FALSE
1,18,"stage_transition",398,97,1006.43459024057,1287.37830137878,1,2,"transition_kernel",1006.43459024057,1287.37830137878,1,FALSE
1,18,"stage_transition",399,100,1374.57395960393,1477.99474056069,1,2,"transition_kernel",1374.57395960393,1477.99474056069,1,FALSE
1,18,"stage_transition",401,111,533.392951414467,2415.32265688635,1,2,"transition_kernel",533.392951414467,2415.32265688635,1,FALSE
1,18,"stage_transition",403,115,814.132765736132,1233.82599099,1,2,"transition_kernel",814.132765736132,1233.82599099,1,FALSE
1,18,"stage_transition",404,119,2250.43582634118,1105.37352705133,1,2,"transition_kernel",2250.43582634118,1105.37352705133,1,FALSE
1,18,"stage_transition",406,119,2341.4396736651,580.354253834375,1,2,"transition_kernel",2341.4396736651,580.354253834375,1,FALSE
1,18,"stage_transition",407,119,2286.2176644925,572.180128700875,1,2,"transition_kernel",2286.2176644925,572.180128700875,1,FALSE
1,18,"stage_transition",408,119,2450.96207413878,448.41240564561,1,2,"transition_kernel",2450.96207413878,448.41240564561,1,FALSE
1,18,"stage_transition",411,121,1699.55400398326,1074.91888767407,1,2,"transition_kernel",1699.55400398326,1074.91888767407,1,FALSE
1,18,"stage_transition",412,121,1828.99603701901,1174.37439234213,1,2,"transition_kernel",1828.99603701901,1174.37439234213,1,FALSE
1,18,"stage_transition",414,124,1295.95906328876,1221.73016562055,1,2,"transition_kernel",1295.95906328876,1221.73016562055,1,FALSE
1,18,"stage_transition",417,127,1644.12635044714,2159.29581774271,1,2,"transition_kernel",1644.12635044714,2159.29581774271,1,FALSE
1,18,"stage_transition",420,130,666.066875736998,255.950700789859,1,2,"transition_kernel",666.066875736998,255.950700789859,1,FALSE
1,18,"stage_transition",421,133,1665.22965477558,1881.26892941269,1,2,"transition_kernel",1665.22965477558,1881.26892941269,1,FALSE
1,18,"stage_transition",422,134,1139.63354536751,1088.84702894446,1,2,"transition_kernel",1139.63354536751,1088.84702894446,1,FALSE
1,18,"stage_transition",424,142,1362.63413344521,1452.21592993031,1,2,"transition_kernel",1362.63413344521,1452.21592993031,1,FALSE
1,18,"stage_transition",425,142,1363.01378437987,1775.79170672678,1,2,"transition_kernel",1363.01378437987,1775.79170672678,1,FALSE
