Id,x,y,ha,humans,growers,N0,EI,EI_2050,EI_2090,gens,gens_2050,gens_2090,hosts,hosts_veg100,hosts_all100
4774,651.6,1328.9,2058.1,87.7,0,0,19.0,27.4,41.2,8.87,9.87,12.09,185,185,205808.3084
4775,655.9,1328.9,2520.9,62.0,0,0,19.5,29.5,43.0,8.71,9.72,11.93,332,332,252087.3348
4776,660.1,1328.9,1600.3,119.1,0,0,21.1,33.7,46.8,8.91,9.91,12.14,719,719,160029.4362
4998,571.8,1323.4,3500.7,5.1,0,0,21.9,28.9,41.3,6.75,7.63,9.55,277,277,350069.8934
4999,576.0,1323.4,2518.5,1.0,0,0,18.3,23.8,38.4,6.53,7.4,9.3,0,0,251854.9349
5000,580.2,1323.4,2444.5,181.6,0,0,27.4,34.6,46.2,8.4,9.19,11.18,401,401,244445.6238
5001,584.4,1323.4,3062.8,139.3,0,0,30.1,37.7,48.7,8.35,9.14,11.13,1511,1511,306275.7861
5003,592.8,1323.4,2138.1,469.4,0,0,33.9,41.9,52.6,8.35,9.06,11.03,956,956,213810.9418
5004,597.0,1323.4,2024.6,134.8,0,0,27.3,37.2,49.4,8.04,8.8,10.77,1404,1404,202456.2366
5005,601.2,1323.4,2512.5,25.4,0,0,25.3,35.6,48.7,7.65,8.45,10.4,1491,1491,251248.4855
5006,605.4,1323.4,2518.7,35.5,0,0,14.4,17.1,31.3,7.31,8.16,10.13,1173,1173,251872.8176
5007,609.6,1323.4,2518.8,16.7,0,0,14.4,17.2,31.7,7.25,8.16,10.15,1707,1707,251876.6529
5008,613.8,1323.4,2518.8,82.2,0,0,12.9,15.1,22.5,7.13,8.09,10.09,1568,1568,251880.5448
5009,618.0,1323.4,2518.9,523.0,0,0,13.9,16.4,29.2,6.98,7.94,9.96,9818,4609,251885.0068
5010,622.2,1323.4,2518.9,489.5,0,0,13.5,15.6,23.5,7.53,8.52,10.59,3262,3262,251889.4135
5011,626.4,1323.4,2518.9,144.8,0,0,13.5,15.5,22.3,7.86,8.86,10.96,3181,3181,251894.1745
5012,630.6,1323.4,2519.0,261.2,0,0,14.5,16.7,26.7,7.98,9,11.12,2264,2264,251899.0615
5013,634.8,1323.4,2519.0,1521.6,0,0,16.8,19.5,37.7,8.3,9.34,11.49,1406,1406,251904.8559
5014,639.0,1323.4,2512.1,1495.2,0,0,19.7,29.6,46.6,8.72,9.77,11.95,1627,1627,251212.8242
5015,643.2,1323.4,2303.3,144.6,0,0,17.3,21.5,37.5,8.55,9.59,11.77,1294,1294,230330.64
5016,647.4,1323.4,2519.2,78.5,0,0,17.0,21.1,35.2,8.55,9.58,11.78,518,518,251921.4737
5017,651.6,1323.4,2519.3,52.0,0,0,15.2,17.8,26.2,8.05,9.06,11.24,47,47,251927.7105
5018,655.9,1323.4,2519.3,0.0,0,0,15.8,18.4,28.6,8.14,9.14,11.32,4,4,251934.1523
5019,660.1,1323.4,2402.1,250.0,0,0,17.6,21.5,36.6,8.75,9.75,11.96,702,702,240214.2349
5241,571.8,1317.8,1758.9,54.6,0,0,33.2,40.4,49.4,8.27,9.19,11.18,229,229,175890.5593
5242,576.0,1317.8,2517.0,27.8,0,0,28.8,36.7,46.9,8.02,8.93,10.92,813,813,251701.4993
5243,580.2,1317.8,2187.7,115.6,0,0,33.6,40.3,49.9,8.55,9.35,11.34,1282,1282,218765.7742
5245,588.6,1317.8,2295.0,64.3,0,0,31.1,38.8,49.6,8.2,9,10.98,1490,1490,229497.9835
5246,592.8,1317.8,1902.1,389.3,0,0,33.3,41.3,52.2,8.41,9.04,11.01,1204,1204,190210.9348
5247,597.0,1317.8,2421.1,40.0,0,0,25.2,35.6,48.6,8.39,9.09,11.06,337,337,242105.7461
5248,601.2,1317.8,2517.2,58.8,0,0,17.0,21.8,39.3,8.31,9.08,11.06,1341,1341,251716.1226
5249,605.4,1317.8,2517.2,35.9,0,0,16.3,20.7,38.1,7.74,8.58,10.58,1313,1313,251719.4789
5250,609.6,1317.8,2517.2,47.5,0,0,16.3,20.4,38.6,7.64,8.56,10.57,2592,2592,251723.3301
5251,613.8,1317.8,2517.3,2549.4,0,0,15.1,17.8,33.2,7.63,8.61,10.64,7904,7904,251727.216
5252,618.0,1317.8,2517.3,1835.4,0,0,15.6,18.6,36.9,7.37,8.35,10.38,7029,7029,251731.7399
5253,622.2,1317.8,2517.4,154.6,0,0,13.9,16.1,26.3,7.4,8.39,10.44,1125,1125,251736.1206
5254,626.4,1317.8,2517.4,98.1,0,0,14.1,16.1,24.9,8.03,9.03,11.13,2880,2880,251740.9554
5255,630.6,1317.8,2517.5,96.6,0,0,15.7,18.0,33.0,8.34,9.36,11.49,3658,3658,251745.8733
5256,634.8,1317.8,2517.5,21.4,0,0,17.1,21.0,40.1,8.18,9.21,11.34,4395,4395,251751.7735
5257,639.0,1317.8,2517.6,132.0,0,0,19.5,29.3,46.3,8.5,9.54,11.7,1926,1926,251757.1558
5258,643.2,1317.8,2517.6,40.5,0,0,15.1,17.6,28.2,7.96,8.97,11.12,30105,3905,251762.8069
5259,647.4,1317.8,2517.7,26.4,0,0,13.6,16.0,20.3,8.02,9.03,11.2,747,747,251768.6851
5260,651.6,1317.8,2517.8,15.4,0,0,11.7,13.9,16.7,7.86,8.86,11.02,237,237,251775.2594
5261,655.9,1317.8,2517.8,0.0,0,0,9.5,11.6,14.2,7.44,8.4,10.54,6,6,251781.8098
5262,660.1,1317.8,3026.6,180.2,0,0,13.2,15.3,18.7,8.41,9.39,11.58,836,836,302655.4272
5485,576.0,1312.2,2081.5,0.8,0,0,32.4,39.7,48.7,8.4,9.32,11.32,3428,3428,208147.6987
5486,580.2,1312.2,1919.9,35.6,0,0,32.5,39.1,48.3,8.61,8.95,10.89,641,641,191985.0726
5487,584.4,1312.2,2117.3,281.9,0,0,37.2,42.8,52.4,8.2,8.54,10.45,1702,1702,211730.4627
5488,588.6,1312.2,2437.5,236.1,0,0,27.9,36.2,47.4,8.21,8.54,10.46,1500,1500,243748.9368
5489,592.8,1312.2,2499.8,156.6,0,0,17.6,23.5,39.4,8.04,8.64,10.66,1427,1427,249979.7288
5490,597.0,1312.2,2515.6,141.2,0,0,15.7,18.7,34.7,8.02,8.7,10.72,1376,1376,251559.6197
5491,601.2,1312.2,2515.6,160.1,0,0,16.8,20.9,38.1,8.19,8.96,11,1843,1843,251562.4997
5492,605.4,1312.2,2515.7,200.3,0,0,17.4,22.1,40.3,8.29,9.13,11.16,2816,2816,251565.8392
5493,609.6,1312.2,2515.7,38.4,0,0,14.8,16.9,28.9,8.21,9.13,11.17,1465,1465,251569.6753
5494,613.8,1312.2,2515.7,157.9,0,0,18.0,23.8,42.4,8.16,9.16,11.22,2186,2186,251573.5434
5495,618.0,1312.2,2515.8,217.1,0,0,16.7,20.3,38.9,7.97,8.97,11.04,1901,1901,251578.0591
5496,622.2,1312.2,2515.8,56.2,0,0,14.5,16.8,29.4,7.76,8.76,10.82,1959,1959,251582.4353
5497,626.4,1312.2,2515.9,19.1,0,0,13.8,15.9,25.1,7.73,8.72,10.79,6836,6836,251587.258
5498,630.6,1312.2,2515.9,98.4,0,0,15.5,17.8,33.4,8.13,9.14,11.24,5773,5773,251592.1737
5499,634.8,1312.2,2516.0,82.5,0,0,17.3,22.5,41.7,7.99,9,11.11,3011,3011,251598.0881
5500,639.0,1312.2,2516.0,73.1,0,0,18.0,25.0,43.4,8.23,9.25,11.39,1584,1584,251603.45
5501,643.2,1312.2,2516.1,143.6,0,0,14.8,17.3,27.9,7.9,8.91,11.04,1919,1919,251609.1036
