farm_id,size_ha,bef_nos,shp_nos,postal_twn,locality,postal_cod,farm_type,X,Y,Avg_EI,CNGpresent,CNGclose,sheep_or_beef_or_CNG,Probability_Estab
HB05213,795,310,3800,Waipukurau,Waipukurau,4200,SNB,176.43564076019018,-40.076142,26.6,0,0,1,0.665
HB05214,135.5,195,905,Takapau,Takapau,4286,SNB,176.2667856787929,-39.9153485,9,0,0,1,0.225
HB05219,353,500,1990,Waipukurau,Oueroa,4284,SNB,176.64705234359826,-40.1214028,23.5,0,0,1,0.5875
HB05220,471.8,160,3630,Takapau,Takapau,4287,SNB,176.30641443065343,-40.097398600000005,18,0,0,1,0.45
HB05222,19,32,20,Waipukurau,Porangahau,4200,SHP,176.58179524418404,-40.29010545,28.5,0,0,1,0.7125
HB05223,55.1,31,112,Waipawa,Ruataniwhao,4272,SNB,176.4885766226548,-39.91853415,28,0,0,1,0.7
HB05224,190.4,67,1265,Waipukurau,Wanstead,4282,SNB,176.49323056063062,-40.130067049999994,30.25,0,0,1,0.75625
HB05225,564.5,124,3535,Porangahau,Waipukurau,4291,SNB,176.53356363505054,-40.32453435000001,24.5,0,0,1,0.6125
HB05227,338.2,16,200,Waipukurau,Waipukurau,4200,SHP,176.56283190430628,-40.0319514,27.666666666666668,0,0,1,0.6916666666666668
HB05229,32.1,54,16,Takapau,Takapau,4286,BEF,176.35672942608025,-39.940626699999996,21,0,0,1,0.525
HB05230,208,90,1800,Waipukurau,Waipukurau,4282,SNB,176.55006480665372,-40.184844149999996,31,0,0,1,0.775
HB05232,640,271,3935,Porangahau,Porangahau,4292,SNB,176.5657879648631,-40.38633325,16.25,0,0,1,0.40625
HB05233,541.4,147,3158,Porangahau,Porangahau,4292,SNB,176.54746198608626,-40.36989495,18.25,0,0,1,0.45625
HB05234,481,271,3430,Porangahau,Porangahau,4292,SNB,176.56291113612212,-40.3940067,14.5,0,0,1,0.3625
HB05235,141,20,2200,Porangahau,Porangahau,4293,BEF,176.57664752631004,-40.4038248,15,0,0,1,0.375
HB05236,540,440,2300,Waipukurau,Porangahau,4282,SNB,176.53542656489935,-40.064944999999994,27,0,0,1,0.675
HB05237,482.3,585,4750,Waipukurau,Waipukurau,4242,SNB,176.1772369192994,-39.90580735,15.8,0,0,1,0.395
HB05241,754.8,480,4227,Waipukurau,Wallingford,4284,SNB,176.6809794681231,-40.1515139,23.666666666666668,0,0,1,0.5916666666666667
HB05242,417.5,302,3200,Waipukurau,Patangata Riding,4285,SNB,176.66559718410622,-40.02672325,27.75,0,0,1,0.69375
HB05243,35.9,0,121,Porangahau,Porangahau,4245,SHP,176.62217865329944,-40.30613475,29.5,0,0,1,0.7375
HB05245,5.9,28,0,Takapau,Waipukurau,4281,SNB,176.37434263712146,-40.02260079999999,26,0,0,1,0.65
HB05246,225.8,0,1149,Waipukurau,Waipukurau,4242,SNB,176.6898908037674,-40.0447163,26,0,0,1,0.65
HB05247,355.9,250,3300,Waipukurau,Wanstead,4282,SNB,176.4676281825951,-40.1849562,27.333333333333332,0,0,1,0.6833333333333332
HB05249,192.6,320,600,Waipukurau,Oueroa,4284,SNB,176.64935366504528,-40.08059039999999,23,0,0,1,0.575
HB05250,52,45,0,Takapau,Takapau,4203,BEF,176.36393873507262,-40.00573754999999,24.666666666666668,0,0,1,0.6166666666666667
HB05251,165.7,181,70,Takapau,Takapau,4286,SNB,176.2699471287584,-39.96774479999999,12.5,0,0,1,0.3125
HB05252,371.6,65,2875,Porangahau,Porangahau,4272,SHP,176.613079730494,-40.365759100000005,18,0,0,1,0.45
HB05253,124.3,30,500,Waipukurau,Waipukurau,4284,SNB,176.64092446442228,-40.08943685,21,0,0,1,0.525
HB05254,81,150,0,Takapau,Takapau,4200,BEF,176.3452238842204,-40.010418449999996,24,0,0,1,0.6
HB05255,593,300,4100,Takapau,Takapau,4286,SNB,176.3113774610008,-39.96715265,21.6,0,0,1,0.54
HB05256,454,156,2880,Waipukurau,Waipukurau,4284,SNB,176.6990668820992,-40.1836689,22.5,0,0,1,0.5625
HB05257,757,354,4660,Waipukurau,Waipukurau,4284,SNB,176.6127747493574,-40.22907314999999,26,0,0,1,0.65
HB05259,42.5,40,400,Ongaonga,Springhill,4279,BEF,176.41002978546857,-39.8604119,19,0,0,1,0.475
HB05261,33.5,0,100,Waipukurau,Waipukurau,4284,SHP,176.58207450244257,-40.02496065,27.333333333333332,0,0,1,0.6833333333333332
